,CDI
2003-06-20,0.0921942560024859
2003-06-23,0.0906801532184715
2003-06-24,0.0906480619766227
2003-06-25,0.0906801367996053
2003-06-26,0.0906794593387587
2003-06-27,0.0906797946636146
2003-06-30,0.09071150199658
2003-07-01,0.0907430487018672
2003-07-02,0.0906477912301113
2003-07-03,0.0906478853237331
2003-07-04,0.0906165712801936
2003-07-07,0.0905852679456558
2003-07-08,0.0905528968271767
2003-07-09,0.0905851915220523
2003-07-10,0.0905850276125477
2003-07-11,0.090522405954573
2003-07-14,0.0905211330083091
2003-07-15,0.0905530723599241
2003-07-16,0.090585923664662
2003-07-17,0.0905521663063098
2003-07-18,0.0904905874070607
2003-07-21,0.0905852866657284
2003-07-22,0.0904894096716475
2003-07-23,0.090426821259598
2003-07-24,0.0903643285615345
2003-07-25,0.0859743797861938
2003-07-28,0.0860059607355623
2003-07-29,0.0859735527232885
2003-07-30,0.0859741225195165
2003-07-31,0.0860054324084416
2003-08-01,0.0860705606662293
2003-08-04,0.086069711652172
2003-08-05,0.0861662755366552
2003-08-06,0.0861661946106124
2003-08-07,0.086166050028396
2003-08-08,0.0861013789948117
2003-08-11,0.0861666819115214
2003-08-12,0.0861979940325312
2003-08-13,0.0861975401015229
2003-08-14,0.0861338352857217
2003-08-15,0.0860386641771384
2003-08-18,0.0860372426866291
2003-08-19,0.0860704251645358
2003-08-20,0.0860383883874931
2003-08-21,0.0849818735326977
2003-08-22,0.0779947317881095
2003-08-25,0.0778973056244609
2003-08-26,0.077864917475722
2003-08-27,0.0778315124616568
2003-08-28,0.0779297410513351
2003-08-29,0.0779619430373514
2003-09-01,0.0779304092676653
2003-09-02,0.0779301627076023
2003-09-03,0.0779298694689032
2003-09-04,0.0779617822466605
2003-09-05,0.0779623853348141
2003-09-08,0.0779951420566362
2003-09-09,0.077994559656048
2003-09-10,0.0780281577600732
2003-09-11,0.0780284664460424
2003-09-12,0.0780276914269535
2003-09-15,0.078059982565847
2003-09-16,0.0779949607407672
2003-09-17,0.0778649562879678
2003-09-18,0.0776030703037946
2003-09-19,0.0713485817545773
2003-09-22,0.071316266075911
2003-09-23,0.0713818385316074
2003-09-24,0.0714482638112059
2003-09-25,0.0714476524366887
2003-09-26,0.0714151425448932
2003-09-29,0.0714155336293913
2003-09-30,0.0714148611206724
2003-10-01,0.0714151793333286
2003-10-02,0.0714472330411553
2003-10-03,0.0714812301113312
2003-10-06,0.0714813438226684
2003-10-07,0.071447670845302
2003-10-08,0.0714477594085991
2003-10-09,0.0714488326284339
2003-10-10,0.0714141483187518
2003-10-13,0.0714814827694567
2003-10-14,0.0715150069415528
2003-10-15,0.0715148171499606
2003-10-16,0.0715145912418364
2003-10-17,0.0715489038079653
2003-10-20,0.0715810739242215
2003-10-21,0.0715471346133682
2003-10-22,0.071481775242205
2003-10-23,0.0713485818906463
2003-10-24,0.0681170582704311
2003-10-27,0.0680514514984906
2003-10-28,0.0680507081038968
2003-10-29,0.0680509459573812
2003-10-30,0.0681835293981265
2003-10-31,0.0681845330100685
2003-11-03,0.0682177953627274
2003-11-04,0.0681844002748732
2003-11-05,0.068217554176968
2003-11-06,0.0682506086294267
2003-11-07,0.0682513592756635
2003-11-10,0.068217882713867
2003-11-11,0.0682186134906004
2003-11-12,0.0682173024038661
2003-11-13,0.0682510899820556
2003-11-14,0.068250675969935
2003-11-17,0.068251233335161
2003-11-18,0.0682517578110406
2003-11-19,0.0682172175132507
2003-11-20,0.0681517089688981
2003-11-21,0.0633044585518263
2003-11-24,0.0632724006958795
2003-11-25,0.0633052668736127
2003-11-26,0.0632372823535973
2003-11-27,0.0632381960418797
2003-11-28,0.0632042089800251
2003-12-01,0.0631702610753421
2003-12-02,0.0631015225279725
2003-12-03,0.0630348779101268
2003-12-04,0.0630677223062718
2003-12-05,0.0630686954437464
2003-12-08,0.063067656429979
2003-12-09,0.0631023064358657
2003-12-10,0.0630674694233448
2003-12-11,0.0631020258830687
2003-12-12,0.0630354988851564
2003-12-15,0.063000736695713
2003-12-16,0.0630006260012834
2003-12-17,0.0629678780116762
2003-12-18,0.0629322039721955
2003-12-19,0.059597966696856
2003-12-22,0.0597015549619754
2003-12-23,0.0597004378367245
2003-12-24,0.0597357557366393
2003-12-26,0.059701078097234
2003-12-29,0.0596664412511529
2003-12-30,0.0597006893062683
2003-12-31,0.0597358377558236
2004-01-02,0.0598367170980225
2004-01-05,0.0598028976367146
2004-01-06,0.0597691174271375
2004-01-07,0.0597343958464335
2004-01-08,0.0597016750748338
2004-01-09,0.0596670328258284
2004-01-12,0.0596666893193571
2004-01-13,0.0596673034270338
2004-01-14,0.0596669175860284
2004-01-15,0.059666511217955
2004-01-16,0.0596319079892566
2004-01-19,0.0595983213085702
2004-01-20,0.0595979338290533
2004-01-21,0.059598500621675
2004-01-22,0.0595980711149479
2004-01-23,0.0597008188899792
2004-01-26,0.0597342799954674
2004-01-27,0.0597015366581956
2004-01-28,0.059700900741916
2004-01-29,0.0596322578366681
2004-01-30,0.0595637164521036
2004-02-02,0.0596669812779708
2004-02-03,0.0596672727403841
2004-02-04,0.0596665735365604
2004-02-05,0.0596668227162808
2004-02-06,0.0596670502336564
2004-02-09,0.0596324370900163
2004-02-10,0.0595978646263688
2004-02-11,0.0595642988143367
2004-02-12,0.0595298063458926
2004-02-13,0.0595976330922383
2004-02-16,0.0597009974242013
2004-02-17,0.0597357298942426
2004-02-18,0.0597347416858724
2004-02-19,0.0597346965504357
2004-02-20,0.0597009595502129
2004-02-25,0.0597691748042734
2004-02-26,0.0597353943415157
