,USDBRL
2003-06-20,0.1072590132170646
2003-06-23,-0.5011578474406364
2003-06-24,-0.5974711685424403
2003-06-25,-0.19918926474698972
2003-06-26,1.3340803249413489
2003-06-27,-0.44229440221147337
2003-06-30,-0.31931139802860997
2003-07-01,-0.9644846796657327
2003-07-02,-0.7875399922652397
2003-07-03,0.4004394202487881
2003-07-04,-0.1164760694621014
2003-07-07,1.3322025513269058
2003-07-08,0.5126237969033327
2003-07-09,-0.5273566249175847
2003-07-10,0.8754490600257897
2003-07-11,0.369960583638739
2003-07-14,-0.9507733645664509
2003-07-15,-0.6921016937363129
2003-07-16,0.43076276528684
2003-07-17,-0.3975311225023592
2003-07-18,0.7387179217869237
2003-07-21,0.18766942378536372
2003-07-22,-0.006937699458853211
2003-07-23,0.1803927010337824
2003-07-24,0.28741602604058747
2003-07-25,-0.2624218776975932
2003-07-28,0.2769603600484723
2003-07-29,0.6559640945969385
2003-07-30,1.0907220030869265
2003-07-31,0.6175143351542226
2003-08-01,1.1836115326251793
2003-08-04,2.446177431180422
2003-08-05,-1.2166558230318747
2003-08-06,0.07903576368306622
2003-08-07,-1.056268509378084
2003-08-08,-0.5886461139379403
2003-08-11,0.1773049645390045
2003-08-12,0.9751210552679792
2003-08-13,0.2381188609981149
2003-08-14,-0.5575901547395172
2003-08-15,-0.6967485069674817
2003-08-18,-0.2739726027397249
2003-08-19,0.4187885285446218
2003-08-20,0.1234444333233275
2003-08-21,0.07330889703431881
2003-08-22,-0.3529568460309045
2003-08-25,-0.10358885250283309
2003-08-26,0.003345040976743291
2003-08-27,-0.5418785121755413
2003-08-28,-0.6827201183829839
2003-08-29,0.45376045511495944
2003-09-01,0.5899207820664103
2003-09-02,-0.1709115281501417
2003-09-03,-0.7418845882708358
2003-09-04,-0.5073051948051845
2003-09-05,-0.6866544292609909
2003-09-08,-0.2087897042716278
2003-09-09,0.51792145429601
2003-09-10,-0.6176209649901058
2003-09-11,-0.46008583690988464
2003-09-12,-0.11037908316372451
2003-09-15,-0.21064263268759598
2003-09-16,0.2387708491937032
2003-09-17,0.3106983809162188
2003-09-18,-0.2822039439721924
2003-09-19,0.3106125970664393
2003-09-22,-0.15138482711164397
2003-09-23,0.4272767995589394
2003-09-24,0.3396809058157529
2003-09-25,0.2120093010532057
2003-09-26,0.2286221251620812
2003-09-29,0.003404487114000404
2003-09-30,-0.47661196976918063
2003-10-01,-0.6841349114045323
2003-10-02,-0.1549907005579767
2003-10-03,-0.39325261306011283
2003-10-06,-0.4225108225108236
2003-10-07,-0.18085069384065
2003-10-08,-0.8954391833037139
2003-10-09,-0.07734495851496809
2003-10-10,-0.07388642600801819
2003-10-13,-0.1056300834477713
2003-10-14,0.1903352014380738
2003-10-15,-0.5523306948108985
2003-10-16,0.4987972265459104
2003-10-17,0.7955225456721443
2003-10-20,0.7124148768989035
2003-10-21,-0.6831027428135568
2003-10-22,-0.139655052021503
2003-10-23,0.3356408642752433
2003-10-24,-0.010453690152634199
2003-10-27,0.1150026136957692
2003-10-28,-0.1844890002784642
2003-10-29,-0.48125544899739675
2003-10-30,-0.3399095910572295
2003-10-31,0.42897327707453947
2003-11-03,-0.010503466143818599
2003-11-04,0.16807311180362372
2003-11-05,-0.038452127101762004
2003-11-06,0.39166316967409365
2003-11-07,-0.0313501463006904
2003-11-10,0.37631973239486904
2003-11-11,0.5137640156906315
2003-11-12,0.5422206872733422
2003-11-13,0.28854080791424963
2003-11-14,0.7603781339909681
2003-11-17,0.435107757155472
2003-11-18,-0.4230691125702394
2003-11-19,0.2923082152204157
2003-11-20,-0.0915037109838309
2003-11-21,-0.6071913161465377
2003-11-24,-0.10579843691340651
2003-11-25,-0.0819952169456843
2003-11-26,0.3932161663133583
2003-11-27,0.3950819113790467
2003-11-28,0.05767208331919349
2003-12-01,-0.518749576184984
2003-12-02,-0.23175760880679247
2003-12-03,0.1468930413691893
2003-12-04,0.2967662709783208
2003-12-05,-0.017005067510123012
2003-12-08,0.081638206680723
2003-12-09,-0.2447148392359483
2003-12-10,0.2691652470187428
2003-12-11,0.016990043834308396
2003-12-12,-0.0475640415845576
2003-12-15,-0.43167912984365403
2003-12-16,0.09217219130850379
2003-12-17,0.20804911323328823
2003-12-18,-0.1361424049555855
2003-12-19,-0.21471660815922602
2003-12-22,-0.1332058200696706
2003-12-23,-0.21888573480626153
2003-12-24,-0.3187660668380497
2003-12-26,-0.30259266900487497
2003-12-29,-0.3828378285162351
2003-12-30,0.031160198040369697
2003-12-31,0.0
2004-01-02,-0.10383497161844352
2004-01-05,-0.8142193888157504
2004-01-06,-0.41569148007125545
2004-01-07,0.7541742668724535
2004-01-08,-0.4700066149079132
2004-01-09,-0.5806632153351086
2004-01-12,-0.9112659207656019
2004-01-13,-0.5006568902460642
2004-01-14,0.4282349582470864
2004-01-15,-0.056854523488014
2004-01-16,0.2062148901372346
2004-01-19,0.8338064149872252
2004-01-20,-0.13019458812765172
2004-01-21,0.1233175956592224
2004-01-22,0.0
2004-01-23,0.06334236548546363
2004-01-26,-0.014067170740283998
2004-01-27,0.5486968449931235
2004-01-28,0.692622520726216
2004-01-29,1.5667882577731382
2004-01-30,0.5917362156245826
2004-02-02,0.2618246115134718
2004-02-03,-0.5426304008682049
2004-02-04,-0.7501875468867156
2004-02-05,0.7867793582079228
2004-02-06,0.5624680415885484
2004-02-09,-0.5389830508474627
2004-02-10,-0.4873726185201542
2004-02-11,0.1883690663744047
2004-02-12,-0.7212935425426444
2004-02-13,0.1480614282763026
2004-02-16,-0.06532576929688672
