,IBOV
2003-06-20,-2.808926390585094
2003-06-23,-1.0638946005635483
2003-06-24,0.9013724569519607
2003-06-25,-0.6308931677397707
2003-06-26,0.6602332312275077
2003-06-27,-0.6681055850881273
2003-06-30,-0.39542079683049197
2003-07-01,2.455174752940817
2003-07-02,0.1459623356983285
2003-07-03,-1.323015664325147
2003-07-04,1.0605737605067695
2003-07-07,0.9665729977323558
2003-07-08,1.6176690046261568
2003-07-10,-0.8627779246335903
2003-07-11,-1.3383896365534969
2003-07-14,2.008167800249239
2003-07-15,0.19134389649767009
2003-07-16,-0.9321218442643979
2003-07-17,1.0016904917254688
2003-07-18,1.2626355314447708
2003-07-21,-0.8590504773710986
2003-07-22,1.1655625265066676
2003-07-23,-0.263097027870955
2003-07-24,-0.2732121633765125
2003-07-25,-0.07775541199468622
2003-07-28,-0.7781591808238337
2003-07-29,-0.1473239808259015
2003-07-30,-1.0915123354840535
2003-07-31,0.7206150831935636
2003-08-01,-3.2560401423550607
2003-08-04,-1.454706088440028
2003-08-05,0.9313073855380762
2003-08-06,-1.3140061105878476
2003-08-07,3.419539560976726
2003-08-08,1.2874763662555118
2003-08-11,0.4466666666666574
2003-08-12,0.31046510770411817
2003-08-13,0.5873963418220279
2003-08-14,0.9486709105925257
2003-08-15,0.5611022219647874
2003-08-18,1.848145374956779
2003-08-19,0.08200024034552192
2003-08-20,2.182527069692523
2003-08-21,1.4032031741423476
2003-08-22,-0.3878690379620905
2003-08-25,-0.9566824060767791
2003-08-26,2.794820772185822
2003-08-27,1.7805171498282468
2003-08-28,-0.5151030866561819
2003-08-29,0.7295248463284734
2003-09-01,1.1703845266730453
2003-09-02,0.6657069716846413
2003-09-03,1.1614890354140832
2003-09-04,0.4541442259719445
2003-09-05,1.2403851051907742
2003-09-08,0.9471936400915691
2003-09-09,-2.0678870045233118
2003-09-10,1.6859329571263932
2003-09-11,1.9338935013420224
2003-09-12,0.7911664334290975
2003-09-15,-0.484127322440969
2003-09-16,-0.4418117955182338
2003-09-17,1.369425185622258
2003-09-18,2.407169362858055
2003-09-19,-0.22440110365081967
2003-09-22,-2.171320060528739
2003-09-23,-0.2553743873441046
2003-09-24,-2.345607686927974
2003-09-25,-1.5680852918830612
2003-09-26,0.0297355434645113
2003-09-29,1.8847995344924513
2003-09-30,-0.6083669073233716
2003-10-01,3.5476275240932487
2003-10-02,1.8994251660262753
2003-10-03,1.1584268598759213
2003-10-06,1.0772822760440786
2003-10-07,1.138745122558352
2003-10-08,1.9158447862347692
2003-10-09,-0.542550323508265
2003-10-10,-0.1812719531064882
2003-10-13,2.1826081545137366
2003-10-14,0.6427895182677328
2003-10-15,-1.2982726372538294
2003-10-16,0.07245569055847051
2003-10-17,-0.9150654413812297
2003-10-20,3.2539472870656914
2003-10-21,0.4306027349534102
2003-10-22,-1.159431287841425
2003-10-23,-2.988790664005094
2003-10-24,0.7015342174586712
2003-10-27,-0.3559018519246274
2003-10-28,2.6878116109405368
2003-10-29,-1.5514933397704387
2003-10-30,0.8303241050332124
2003-10-31,-0.6151278338436295
2003-11-03,2.9734464062282675
2003-11-04,0.1296092281770454
2003-11-05,-1.262593575388872
2003-11-06,1.6709364126486568
2003-11-07,0.3180572717992755
2003-11-10,-0.535019976221335
2003-11-11,-0.8814201795146626
2003-11-12,2.090870571363396
2003-11-13,-0.2069864580839174
2003-11-14,1.2332974310302651
2003-11-17,-1.670713529514009
2003-11-18,0.7729515177810946
2003-11-19,-0.030298198054552403
2003-11-20,2.0832336380022682
2003-11-21,0.2567828700303913
2003-11-24,2.2968142806674696
2003-11-25,0.6063837891369127
2003-11-26,-0.5810226200031388
2003-11-27,1.3506103133822098
2003-11-28,1.118191655645055
2003-12-01,1.6676575505350621
2003-12-02,-0.3026227303295165
2003-12-03,0.3964122491873638
2003-12-04,-0.6105279557537522
2003-12-05,2.2807653496095663
2003-12-08,0.043582792938636296
2003-12-09,1.7755841619233157
2003-12-10,-1.3509064055165052
2003-12-11,1.5434423962694188
2003-12-12,-1.5138779975864136
2003-12-15,-1.259184033489247
2003-12-16,0.2404658664014074
2003-12-17,2.118056224590076
2003-12-18,1.3679696971126356
2003-12-19,-0.483031089891241
2003-12-22,1.1442332421500454
2003-12-23,0.2690682471729385
2003-12-26,0.544991792847767
2003-12-29,1.095539882420913
2003-12-30,0.8659363588941172
2004-01-02,0.9367523519994165
2004-01-05,4.843014163700115
2004-01-06,0.1899565267277685
2004-01-07,-1.0871040532057563
2004-01-08,1.7011076281834039
2004-01-09,0.8428624434999814
2004-01-12,1.3392315829525072
2004-01-13,-1.2270495523373461
2004-01-14,-2.2598539658139516
2004-01-15,-1.8672057302573448
2004-01-16,0.8400945922993506
2004-01-19,0.9959144187332072
2004-01-20,1.2554949284162533
2004-01-21,-1.592141493656765
2004-01-22,-1.429074148778212
2004-01-23,2.1864442199853693
2004-01-26,3.7441949639981074
2004-01-27,-0.5084230671299105
2004-01-28,-1.545447040369844
2004-01-29,-6.143822636636522
2004-01-30,-2.3889717772556263
2004-02-02,-0.29517559515636516
2004-02-03,2.267876568029404
2004-02-04,-2.6771688882904594
2004-02-05,-2.7337499135326992
2004-02-06,4.158507849059096
2004-02-09,-0.032773751866287094
2004-02-10,0.9557591432318299
2004-02-11,4.625758293304467
2004-02-12,-0.5763651490918984
2004-02-13,-2.3136224494220317
2004-02-16,-1.5131070848387287
2004-02-17,1.0699043215301227
2004-02-18,-1.9004472427462376
2004-02-19,-4.768614688115044
2004-02-20,1.8419168536108028
2004-02-25,1.2761928865017735
