dtref,Risk Factor - Nefin - Rm_minus_Rf - Retorno de Mercado,Risk Factor - Nefin - SMB - Size,Risk Factor - Nefin - HML - Value,Risk Factor - Nefin - WML - Momentum,Risk Factor - Nefin - IML - Iliquidez,Risk Factor - Nefin - Risk_free - Livre de Risco
2001-01-02,0.006600632797926664,0.0005238347221165895,0.06548966467380524,-0.006308256182819605,0.01410930696874857,0.0005785165121778846
2001-01-03,0.062427498400211334,0.005389615893363953,0.00938994437456131,-0.028643690049648285,0.004510357975959778,0.0005771434516645968
2001-01-04,-0.00030983329634182155,0.006689573638141155,-0.0023274486884474754,-0.000945804757066071,-0.009226537309587002,0.0005737087340094149
2001-01-05,-0.012839235365390778,0.0035229893401265144,-0.0023965509608387947,0.005984624847769737,0.02512427605688572,0.0005726777599193156
2001-01-08,0.003981627989560366,0.00788340624421835,0.0019477182067930698,-0.004099035635590553,-0.0011752401478588581,0.0005726777599193156
2001-01-09,0.01998552866280079,0.005928125232458115,-0.0009160656481981277,0.009564351290464401,-0.003978317603468895,0.0005699271569028497
2001-01-10,-0.004367973655462265,0.013150304555892944,0.012467809021472931,-0.0006905571208335459,0.022133760154247284,0.000569583207834512
2001-01-11,0.004693605471402407,-0.010816012509167194,-0.0034537846222519875,-0.003061066847294569,-0.0022781644947826862,0.0005678629386238754
2001-01-12,-0.006783205084502697,0.006618382874876261,0.003474901430308819,0.006019153632223606,0.0103280209004879,0.0005671746330335736
2001-01-15,0.005109917372465134,6.721680983901024e-05,-0.0007596919313073158,-0.01382141187787056,0.006891853176057339,0.0005657976726070046
2001-01-16,-0.007472786121070385,-0.0008212793618440628,0.012698344886302948,0.02325919084250927,0.00830229464918375,0.00056648621102795
2001-01-17,0.020989416167140007,0.006132042035460472,0.006096376106142998,0.007306881248950958,0.0013047996908426285,0.0005651089595630765
2001-01-18,0.022893719375133514,-0.009999382309615612,-0.008398998528718948,0.017973702400922775,-0.0008899755775928497,0.0005644201883114874
2001-01-19,0.005666037555783987,0.013493969105184078,0.0027747671119868755,0.015670625492930412,0.025281712412834167,0.0005630422965623438
2001-01-22,-0.0071780080907046795,0.007387676741927862,0.011710441671311855,0.007802674546837807,-0.0015511815436184406,0.0005620085285045207
2001-01-23,0.019978895783424377,0.012150907889008522,0.00965743325650692,-0.01483612135052681,-0.009103488177061081,0.0005609744694083929
2001-01-24,-0.004230137914419174,0.0016492330469191074,-0.01648070476949215,-0.044980231672525406,0.004232296720147133,0.0005599401774816215
2001-01-26,0.007241258397698402,0.006349087227135897,0.014064383693039417,-0.008525493554770947,-0.003340459894388914,0.0005571807851083577
2001-01-29,0.0020901814568787813,-0.016414187848567963,-0.004174862522631884,-0.018669694662094116,0.005960377864539623,0.0005564906168729067
2001-01-30,-0.007677540648728609,-0.002551625482738018,0.0013308501802384853,0.028660662472248077,0.018182840198278427,0.000555455160792917
2001-01-31,0.002875572070479393,-0.026115044951438904,0.0055680545046925545,-0.001554685877636075,-0.011499879881739616,0.0005558003322221339
2001-02-01,-0.027473600581288338,-0.0005132239311933517,0.005559621378779411,0.020303156226873398,0.02252887189388275,0.0005558003322221339
2001-02-02,-0.010221305303275585,0.009006275795400143,0.019123729318380356,0.003794922959059477,0.02886500395834446,0.000555455160792917
2001-02-05,-0.010177734307944775,0.0036854716017842293,0.005045774392783642,0.009150216355919838,0.002312607131898403,0.0005568357300944626
2001-02-06,0.013221055269241333,0.022692052647471428,-0.006559658795595169,0.0076486896723508835,0.002139526419341564,0.0005575257819145918
2001-02-07,-0.008020485751330853,-0.007986330427229404,0.00541133526712656,0.005130345933139324,0.006212619133293629,0.0005589056527242064
2001-02-08,0.020218500867486,0.016466785222291946,0.020940393209457397,-0.00011701881885528564,0.012144379317760468,0.0005578708369284868
2001-02-09,-0.0070489561185240746,-0.0030033565126359463,0.008427070453763008,0.0017983056604862213,0.0036169157829135656,0.0005564906168729067
2001-02-12,-0.01190713606774807,0.009064873680472374,0.011352677829563618,0.0022958554327487946,0.008280880749225616,0.0005585607141256332
2001-02-13,0.006919757463037968,0.0002841405803337693,-0.011188185773789883,-0.00192534108646214,-0.009382343851029873,0.0005571807851083577
2001-02-14,0.0049994755536317825,-0.0010244962759315968,0.013064008206129074,0.0011240384774282575,0.010463152080774307,0.000555455160792917
2001-02-15,-0.008294807747006416,-0.0012273602187633514,-0.00018888525664806366,0.0036171446554362774,-0.003160858526825905,0.0005606297636404634
2001-02-16,-0.03638485446572304,-0.005555462092161179,-0.0010375864803791046,0.017699770629405975,-4.88869845867157e-05,0.0005630422965623438
2001-02-19,-0.008810373023152351,-0.001603442244231701,-0.001176132820546627,-0.0006779972463846207,0.0004912614822387695,0.0005654533160850406
2001-02-20,0.0009498772560618818,-0.01774008199572563,0.020123008638620377,0.0035576103255152702,0.008262790739536285,0.00056648621102795
2001-02-21,-0.015338147059082985,-0.004885275848209858,-0.0012895483523607254,0.0006788205355405807,0.004567167721688747,0.000567518814932555
2001-02-22,0.0164705328643322,0.0038390327244997025,-7.742643356323242e-05,-0.009127961471676826,-0.004225330427289009,0.0005654533160850406
2001-02-23,0.010184850543737411,0.010089697316288948,0.016422605141997337,0.003044622950255871,0.013229120522737503,0.0005640757735818624
2001-02-28,-0.016329849138855934,-0.01875937171280384,-0.03911428898572922,0.016835782676935196,-0.02635633945465088,0.0005633868277072906
2001-03-01,0.027542371302843094,0.02866852842271328,0.006958797574043274,-0.021691342815756798,0.022730214521288872,0.0005630422965623438
