dtref,s_1,s_2,s_3,i_1,i_2,i_3
2001-04-16,,,,17.59052263801979,18.746946621667515,19.85885969379493
2001-04-17,,-22.19466216675165,0.6140306205072221,16.741534465942863,17.683921346199917,18.87080174324576
2001-04-18,,-27.49213461999176,-59.480174324575685,16.713631964959276,17.714597081193805,18.50830697985648
2001-04-19,,12.24029188061948,4.169302014351928,16.806178184300858,17.841060071486226,18.86732855502789
2001-04-20,,19.29399285137734,41.26714449721156,18.76441497019916,20.8430786505724,21.721626903994263
2001-04-23,,76.19213494275989,29.93730960057377,17.4634863842005,20.481483303435155,21.194560429501564
2001-04-24,,0.5516696564843215,-61.55604295015635,17.116924734972795,20.45103451851322,21.175380650174148
2001-04-25,,81.79654814867767,141.76193498258522,17.366049033573482,20.604245340318705,21.546113778246117
2001-04-26,,-88.12453403187064,-87.31137782461147,16.789948640653265,18.66121812628738,19.323633992374024
2001-04-27,,55.47818737126207,-26.463399237402285,16.69642777634408,17.932591793638686,18.65828391110991
2001-04-30,,-18.559179363868594,-15.728391110990714,17.885464606841992,19.04011690614256,19.84241719760007
2001-05-02,,38.28830938574406,25.75828023999307,17.948104797856736,19.26132936549849,20.137210387352123
2001-05-03,,-34.03293654984907,-21.621038735212394,17.446161925193614,18.237878996701085,19.06790805530332
2001-05-04,,58.21210032989157,23.809194469668427,17.16176516442218,18.0344508935381,18.79176345583986
2001-05-07,,-2.645089353810093,-11.576345583986123,17.129516033834168,18.155775193786173,19.211488173302023
2001-05-08,,12.52248062138257,-4.048817330202681,16.95376854317454,18.1465713411328,18.983247102175827
2001-05-09,,9.34286588672002,17.075289782417258,16.869534426738085,18.029449503060093,18.908563026308457
2001-05-10,,-8.644950306009136,-25.556302630845806,16.794079444338372,17.631598559886875,18.42280404065544
2001-05-11,,12.040144011312393,15.01959593445612,17.007664223441353,18.49061290211662,19.449890516536826
2001-05-14,,-14.461290211662003,60.31094834631752,17.163184193557733,18.71246477011261,19.894251300264436
2001-05-15,,-1.146477011261382,-12.9251300264432,17.046459360763656,18.2707478157796,19.309336587992163
2001-05-16,,-41.17478157795951,-41.83365879921652,16.938356258523555,17.790773407167993,18.73671937960393
2001-05-17,,-42.97734071679926,7.328062039607275,17.015828775583365,17.865460363653863,18.79961980323266
2001-05-18,,-28.04603636538623,-13.261980323265732,17.080295738640537,17.861060008030982,18.8117937101878
2001-05-21,,17.293999196901666,24.72062898122047,17.089719151623093,17.828122346785612,18.56503286591762
2001-05-22,,-6.812234678561069,4.69671340823794,17.141854983391447,18.0207013346795,18.97716534783216
2001-05-23,,6.029866532049866,36.583465216784106,17.452767202392927,18.317691557628542,19.33627028132272
2001-05-24,,-0.5691557628544786,-71.7270281322719,17.04887713747638,17.6696681751346,18.495258538020053
2001-05-25,,4.53318248654,2.9741461979945427,16.98629778714338,17.660558316965247,18.22865489554593
2001-05-28,,-8.755831696524652,-13.565489554592602,17.040083899332537,17.554199235960134,18.190278539760275
2001-05-29,,-0.3199235960135382,-7.027853976027387,16.932037452479086,17.562571216882073,18.11608083000118
2001-05-30,,0.5428783117928049,6.79191699988202,17.016129562387604,17.492958652637824,18.03899334477577
2001-05-31,,-6.295865263782474,-0.1993344775769401,17.58123719227791,18.214019181451647,19.258248204742845
2001-06-01,,9.29808185483516,38.17517952571556,17.92291517986653,18.50972164360352,19.48829547338353
2001-06-04,,-37.47216436035146,-71.6295473383532,17.564478847099394,18.054749431595106,18.778810801338565
2001-06-05,,-3.9749431595105023,-5.4810801338565085,17.39280400245398,17.81371051168321,18.40342689200185
2001-06-06,,-7.971051168320997,-0.442689200184887,17.37716782323997,17.8406087162714,18.349295062777248
2001-06-07,,-4.060871627140017,2.0704937222753017,17.263681947205644,17.63236592660804,18.16499805742613
2001-06-08,,-8.336592660803888,2.0001942573870224,17.211154959579723,17.623882873958664,18.1579540699113
2001-06-11,,2.311712604133476,9.904593008870322,17.173163820702285,17.824052077132137,18.349176719065817
2001-06-12,,-6.4052077132135565,-7.117671906581791,17.160582487472233,17.587605081293244,18.25264271622196
2001-06-13,,6.939491870675596,10.23572837780442,17.311069628184363,17.642611214825376,18.27487863296802
2001-06-15,,41.138878517462274,21.51213670319798,17.398406244111463,18.050058839901983,18.636403328652307
2001-06-18,,109.6941160098016,135.7596671347693,18.160848706582545,19.225136570142155,20.346367115571784
2001-06-19,,29.786342985784486,37.46328844282161,18.06215389682928,19.30840977420669,20.14722993485936
2001-06-20,,-20.240977420668926,-15.922993485935775,17.9723010361865,18.96042849854993,19.67988740480424
2001-06-21,,105.75715014500702,0.5112595195758018,18.272833432805548,18.72195964262502,19.283771243606985
2001-06-22,,-25.795964262502125,-27.8771243606986,18.302400739618463,18.471191293210488,18.89529235284424
2001-06-25,,-4.119129321048831,-0.4292352844242231,18.2162524429907,18.54104995594441,19.03637608185338
2001-06-26,,12.195004405559118,17.962391814662126,18.37334690765422,18.79460640326418,19.56068709967016
2001-06-27,,-3.7606403264177857,-10.168709967016198,18.33100366485656,19.057185234858707,19.94901010922321
2001-06-28,,-9.618523485870869,-13.701010922320831,18.37201788975311,19.34663454925807,20.1173890061191
2001-06-29,,11.636545074193094,0.2610993880900025,19.11440037606813,20.15405435475852,21.04908852115961
2001-07-02,,0.3945645241479667,2.191147884039069,19.147093167586647,19.87341625597079,20.719339477625343
2001-07-03,,20.95837440292101,0.8660522374658086,19.76307897663647,20.85466885128897,21.607210805139367
2001-07-04,,36.33311487110298,29.07891948606327,20.917225953960816,21.89175509858148,23.001290097584672
2001-07-05,,-56.97550985814779,-36.129009758467134,22.10529647738808,23.341496924715894,24.23057992559807
2001-07-06,,11.250307528410277,80.14200744019284,21.562444754284083,22.10576130097364,23.724059617309056
2001-07-10,,-35.37613009736376,-46.00596173090565,22.633495826593176,24.244279246049928,25.55829133876657
2001-07-11,,67.97207539500718,160.27086612334324,22.41692132322082,24.57677378800977,25.656504638809864
2001-07-12,,48.322621199022464,-40.650463880986365,23.18195634789664,25.293193202205423,26.477440410177856
2001-07-13,,4.580679779457597,-28.944041017785693,22.462190620051416,25.30908340516522,26.202581049061923
2001-07-16,,-41.70834051652221,34.44189509380777,21.242455328827404,23.946005887695755,25.095364767467565
2001-07-17,,0.0994112304244509,-31.13647674675661,21.408412451902304,23.003844653781247,23.99353838744156
2001-07-18,,-14.384465378124744,-56.85383874415599,20.932084323344306,23.14201812092416,24.309332372105217
2001-07-19,,-68.30181209241566,-11.733237210521708,20.37406798906003,22.471612732194775,23.815284401145487
2001-07-20,,-33.46127321947776,-12.928440114548678,19.87328456638602,21.824128705038337,23.20720544549435
2001-07-23,,-65.51287050383365,-40.720544549434834,19.428976697677825,20.869829317636743,22.22595942130072
2001-07-24,,7.91706823632552,2.2040578699279223,19.470989834086105,21.690544369221957,22.984430476157456
2001-07-25,,2.6455630778045247,10.156952384254224,19.31636269991417,21.12537264200325,22.56095862355117
2001-07-26,,-25.93726420032496,-24.69586235511656,19.41625841448629,21.121249770305607,22.47541048806754
2001-07-27,,14.775022969439178,28.058951193246173,19.26462986703703,21.23843369568852,22.63693150243476
2001-07-30,,-77.54336956885197,-36.493150243475725,19.20212307498317,20.658399246739577,22.014278763744933
2001-07-31,,3.0600753260422664,19.872123625506788,21.041449817582645,22.601949822222767,23.57839270541142
2001-08-01,2.9550182417356297,-29.7949822222769,33.56072945885806,21.213413677320435,22.641725289249106,23.576327821868936
2001-08-02,-7.741367732043614,-4.772528924910091,-2.4327821868936894,20.79082745347922,22.31391721495461,23.36314851804908
2001-08-03,-9.982745347922162,18.60827850453859,-41.91485180490808,20.821832603247948,22.399942026237408,23.57263065195789
2001-08-06,-32.383260324794705,-56.69420262374096,-42.56306519578956,20.406741722545952,21.670747869304563,22.593106901034243
2001-08-07,-16.874172254595265,4.625213069543577,-29.310690103424264,20.562759825069588,21.709075509374376,22.631422544124803
2001-08-08,10.524017493041171,9.892449062562392,8.657745587519727,20.089805758049927,20.95629328492199,21.7806670202815
2001-08-09,-13.280575804992624,3.170671507800904,-7.766702028149908,20.208422133590886,21.25933479306692,22.08994881448749
2001-08-10,-13.042213359088706,11.866520693308049,23.105118551250925,19.94703986442925,21.025641667024807,21.91594735739606
2001-08-13,-13.80398644292491,7.53583329751919,4.005264260393915,19.82232723372055,21.097929415438976,22.127377233589907
2001-08-14,0.767276627944824,-2.4929415438975866,18.16227664100936,20.138996605849503,21.47442402885147,22.609405578163425
2001-08-15,-0.0996605849501008,-29.342402885146868,-32.14055781634215,19.82379684008173,21.00690764571313,22.01737695328976
2001-08-16,1.220315991826837,-8.390764571313625,-23.43769532897575,19.70307209691056,20.64062092961938,21.59102014184404
2001-08-17,-19.207209691055738,-4.26209296193818,-8.402014184403939,19.970837058119063,20.907042399126595,21.80701024357865
2001-08-20,-45.38370581190634,-0.1042399126596649,29.09897564213466,19.694629620781637,20.453363684746662,21.488694452394142
2001-08-21,-3.3629620781631786,-1.6363684746661278,-5.369445239414361,19.79176313766653,20.970481871341278,22.00501805670161
2001-08-22,-32.776313766652976,-10.448187134127451,-61.50180567016079,19.10342956140676,20.138103298098954,20.95088812707833
2001-08-23,-6.242956140675915,-0.2103298098955264,1.1111872921674149,19.10700355737871,20.198139714799403,20.976883065475228
2001-08-24,-12.300355737870916,-16.713971479940426,3.811693452477272,19.032800036290777,20.045377660870532,20.749629503389144
2001-08-27,-0.5800036290775523,-19.13776608705362,-9.062950338914533,19.116256248831974,20.02356358577444,20.84269851473004
2001-08-28,-2.1256248831974744,-20.056358577443945,-6.469851473003985,19.12001050096628,19.74354996620562,20.425410928115184
